Runs,Mins,Ball Faced,4s,6s,Strike Rate,Possition,Dismissal,Innings, Against Match,Venue,Date,Match 
45,82,65,7,0,69.23,4,lbw,3,New Zealand,Eden Gardens,2016-09-30,Test
9,42,28,1,0,32.14,4,caught,1,New Zealand,Eden Gardens,2016-09-30,Test
17,36,28,1,0,60.71,4,lbw,3,New Zealand,Indore,2016-10-08,Test
211,536,366,20,0,57.65,4,lbw,1,New Zealand,Indore,2016-10-08,Test
85,109,81,9,1,104.93,3,not out,2,New Zealand,Dharamsala,2016-10-16,ODI
9,18,13,1,0,69.23,3,caught,2,New Zealand,Delhi,2016-10-20,ODI
154,202,134,16,1,114.92,3,not out,2,New Zealand,Mohali,2016-10-23,ODI
45,64,51,2,1,88.23,3,caught,2,New Zealand,Ranchi,2016-10-26,ODI
65,152,76,2,1,85.52,3,caught,1,New Zealand,Visakhapatnam,2016-10-29,ODI
49,129,98,6,0,50.00,4,not out,4,England,Rajkot,2016-11-09,Test
40,135,95,5,0,42.10,4,hit wicket,2,England,Rajkot,2016-11-09,Test
81,172,109,8,0,74.31,4,caught,3,England,Visakhapatnam,2016-11-17,Test
167,401,267,18,0,62.54,4,caught,1,England,Visakhapatnam,2016-11-17,Test
6,11,11,0,0,54.54,4,not out,4,England,Mohali,2016-11-26,Test
62,161,127,9,0,48.81,4,caught,2,England,Mohali,2016-11-26,Test
235,515,340,25,1,69.11,4,caught,2,England,Wankhede,2016-12-08,Test
15,44,29,1,0,51.72,4,caught,2,England,Chennai,2016-12-16,Test
122,147,105,8,5,116.19,3,caught,2,England,Pune,2017-01-15,ODI
8,6,5,2,0,160.00,3,caught,1,England,Cuttack,2017-01-19,ODI
55,81,63,8,0,87.30,3,caught,2,England,Eden Gardens,2017-01-22,ODI
29,34,26,4,0,111.53,1,caught,1,England,Kanpur,2017-01-26,T20
21,17,15,2,1,140.00,1,caught,1,England,Nagpur,2017-01-29,T20
2,6,4,0,0,50.00,1,run out,1,England,Bengaluru,2017-02-01,T20
38,51,40,2,1,95.00,4,caught,3,Bangladesh,Hyderabad,2017-02-09,Test
204,295,246,24,0,82.92,4,lbw,1,Bangladesh,Hyderabad,2017-02-09,Test
13,33,37,1,0,35.13,4,bowled,4,Australia,Pune,2017-02-23,Test
0,2,2,0,0,0.00,4,caught,2,Australia,Pune,2017-02-23,Test
15,34,25,1,0,60.00,4,lbw,3,Australia,Bengaluru,2017-03-04,Test
12,25,17,2,0,70.58,4,lbw,1,Australia,Bengaluru,2017-03-04,Test
6,38,23,0,0,26.08,4,caught,2,Australia,Ranchi,2017-03-16,Test
81,108,68,6,3,119.11,3,not out,1,Pakistan,Birmingham,2017-06-04,ODI
0,5,5,0,0,0.00,3,caught,1,Sri Lanka,The Oval,2017-06-08,ODI
76,136,101,7,1,75.24,3,not out,2,South Africa,The Oval,2017-06-11,ODI
96,96,78,13,0,123.07,3,not out,2,Bangladesh,Birmingham,2017-06-15,ODI
5,11,9,0,0,55.55,3,caught,2,Pakistan,The Oval,2017-06-18,ODI
32,62,47,1,0,68.08,3,not out,1,West Indies,Port of Spain,2017-06-23,ODI
87,105,66,4,4,131.81,3,caught,1,West Indies,Port of Spain,2017-06-25,ODI
11,27,22,2,0,50.00,3,caught,1,West Indies,North Sound,2017-06-30,ODI
